Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
SPY,SPDR S&P 500 ETF TRUST,676.33,USD,-0.1255205410673542,67623406,0.763880266283201,0,USD,Miscellaneous,,682.1129890721918,681.8513957182862,676.93593199665,1.4916190218940943,-1.898697455832427
QQQ,"Invesco QQQ Trust, Series 1",607.69,USD,-0.013162874113550724,59099938,0.739277824354067,0,USD,Miscellaneous,,608.7100406526316,609.6107651681239,606.0527530790179,2.2659766923303515,0.024689732363316154
