Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
SPY,SPDR S&P 500 ETF TRUST,709.19,USD,0.0663167400383829,2051306,0.03401487289790342,0,USD,Miscellaneous,,683.151904070921,679.9508273161529,676.3782790715569,0.05784587601231438,8.024249440221789,3.4241880678420933,705.9299999999996,672.3149999999996,675.9847999999994,667.3374500000004,,,
QQQ,"Invesco QQQ Trust, Series 1",647.1799,USD,0.06028231729000317,2192954,0.04864002455501085,0,USD,Miscellaneous,,615.9084854546356,611.4809177576494,607.4956767810523,-0.13272328868588182,9.494789023111027,4.373754152823925,644.1379799999997,604.2019949999999,603.8461979999996,599.8230994999999,,,
