Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
NVDA,NVIDIA Corporation,184.34,USD,2.2690707350901547,32924519,0.20809575190399723,4479462000000.0,USD,Electronic technology,Strong buy,182.83855276807986,183.2131874092353,181.96966374787695,0.7487566267694182,-1.6722229630617367,37.60812795821772,1.768997
AAPL,Apple Inc.,252.7,USD,1.0315048776587175,5785698,0.1677698297239339,3709923916735.532,USD,Electronic technology,Strong buy,258.01840004636904,259.54970261819875,258.4216341111922,0.2360127724559207,-3.5532994923857877,31.971962853311062,1.946418
GOOGL,Alphabet Inc.,306.13,USD,1.273653566229993,3495074,0.13791673732858983,3698738600458.273,USD,Technology services,Strong buy,309.2375250216938,308.19565755089184,299.1719544794624,0.5848529653359529,-0.5183199285076049,28.32989385428331,2.603639
GOOG,Alphabet Inc.,305.155,USD,1.2257015856166633,3429420,0.21193222252508864,3696987287699.0566,USD,Technology services,Strong buy,308.9425069514579,308.1469966368869,299.3552100624216,0.5121870882740283,-0.9188759192817965,28.23966536799341,2.604661
MSFT,Microsoft Corporation,397.0483,USD,0.3787890279357785,4997819,0.17347264748895394,2948333242668.88,USD,Technology services,Strong buy,410.30935119013424,424.69156401746966,440.8529679860759,-0.25666340090939027,-1.8300655210780086,24.84206871093481,4.045793
AMZN,"Amazon.com, Inc.",209.71,USD,0.9823277314970966,7002778,0.16756671926613106,2251220241761.7217,USD,Retail trade,Strong buy,213.80396330586174,217.482329850681,220.24236881987824,0.6527477801775924,5.445494770716016,29.23928501714955,1.621427
META,"Meta Platforms, Inc.",633.215,USD,3.178211207247722,4835277,0.4177889583468484,1601752511857.0571,USD,Technology services,Strong buy,642.055450177056,648.1353415970386,655.6362268107266,0.19224683544304302,-1.8423500232522074,26.955757335819403,6.621054
AVGO,Broadcom Inc.,323.8874,USD,0.5361931959274858,4935459,0.16357014427105998,1533499315693.1863,USD,Electronic technology,Strong buy,328.39849807481266,331.99005431088125,331.94622152928423,-0.6541316483651212,-1.8076701530998964,63.18028245942572,2.365851
TSLA,"Tesla, Inc.",402.07,USD,2.778629856850717,12750075,0.22726897026732254,1508740334986.1729,USD,Consumer durables,Buy,408.6884504638941,414.6844036974522,414.4302592134169,1.47645247589722,-2.9531383883853715,373.6710037174721,0.409774
BRK.A,Berkshire Hathaway Inc.,743544.96,USD,1.1847521308546902,32,0.21234240212342403,1069576986806.4658,USD,Finance,Buy,744532.2112054568,744717.0796787959,744340.561469308,0.3144786795716167,-0.569142050236071,15.968574199930996,7756.953898
BRK.B,Berkshire Hathaway Inc. New,495.21,USD,1.0570781380731806,565533,0.12148772207809003,1068227346220.6659,USD,Finance,Buy,496.0744149150464,496.1529193934505,495.8976577132714,0.4951600137995409,-0.9877036888933316,15.952902519167578,5.173888
WMT,Walmart Inc.,125.54,USD,-0.7745810938981899,2292266,0.12922290865773986,1000574737650.8998,USD,Retail trade,Strong buy,124.6101087091448,122.18096317671751,118.36404146511555,-0.962448721994319,-5.395629238884689,45.990401875664,0.661022
LLY,Eli Lilly and Company,987.475,USD,0.24312746172899477,268866,0.12461883090066452,932985007775.3938,USD,Health technology,Strong buy,1012.2596408179007,1011.9784071856808,991.7328378552751,-0.45414222060928605,-5.048654781822727,43.7138936231435,7.254933
JPM,JP Morgan Chase & Co.,288.0949,USD,1.642287609370589,1751215,0.17615399847743574,777001306637.0192,USD,Finance,Strong buy,297.3249655917355,301.4429172708974,302.8568623376706,0.6128728085492843,-3.4922618250033453,14.397402324814344,5.379811
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",25.1,USD,0.27966440271674103,16804,0.18092921645073382,764446890081.0,USD,Finance,,25.14682349856239,25.183253673413294,25.223700656032587,0,-0.03982477100755878,1.254360276259108,5.379811
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",19.39,USD,0.31039834454217424,16004,0.08384421865717229,764446890081.0,USD,Finance,,19.65398464721201,19.734360139637865,19.80745372542432,-0.4620123203285414,-1.9716885743174952,0.9690058070384104,5.379811
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",19.06,USD,0.5804749340369364,26702,0.2247896648275142,764446890081.0,USD,Finance,,19.318106205228016,19.405258498282947,19.482432571519322,-0.20942408376964763,-1.803194229778472,0.952514217748948,5.379811
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",17.99,USD,0.6737699780633034,53597,0.32323489395372174,764446890081.0,USD,Finance,,18.29130613500318,18.36549249708483,18.42001402047691,0,-3.17545748116254,0.8990414888406911,5.379811
