Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
NVDA,NVIDIA Corporation,182.555,USD,-0.05201204489460654,26964655,0.1303558924021329,4436086351762.142,USD,Electronic technology,Strong buy,182.92179006689634,183.35467102506024,181.9421755772101,3.237572810043541,3.3193729130114944
AAPL,Apple Inc.,258.67,USD,-0.46559950746497597,4074542,0.10439495969676321,3797570464212.6255,USD,Electronic technology,Strong buy,261.4379429167602,261.91274829266047,259.7710702495841,1.165473815949008,-6.657765588914545
GOOG,Alphabet Inc.,305.465,USD,-0.17809875494265412,2132564,0.10695615108959393,3697536559782.511,USD,Technology services,Strong buy,310.9146517947316,309.2178056001776,299.1393219777546,3.851972733608712,-6.685504811363997
GOOGL,Alphabet Inc.,305.75,USD,-0.1991121556338992,3379628,0.11141807642366147,3696758195352.139,USD,Technology services,Strong buy,310.8965004247174,309.03564809508805,298.7916044728632,3.869411604837609,-6.549911363775294
MSFT,Microsoft Corporation,403.23,USD,-1.509489265039937,5056573,0.1477838371929551,2994236370649.897,USD,Technology services,Strong buy,415.80488962541074,430.3959175441908,445.9316166028653,-0.4161367200523572,1.0183758596069288
AMZN,"Amazon.com, Inc.",213.49,USD,0,5821491,0.12632700550767684,2291798321576.0005,USD,Retail trade,Strong buy,216.26700044086985,219.6091467305564,221.82469661095698,1.4445236398194443,5.323137641835235
AVGO,Broadcom Inc.,348.33,USD,0.7462039045553099,4761516,0.16031218331800695,1651527946567.5164,USD,Electronic technology,Strong buy,335.5029387946004,337.0790681245996,335.13119459130354,6.441558441558437,8.81911902530458
META,"Meta Platforms, Inc.",650.27,USD,0.4448632200064869,1921246,0.17176395805776914,1644894059933.9185,USD,Technology services,Strong buy,652.7057375292306,655.8449223394023,661.2019858554357,2.440215507734965,-2.2870366196336573
TSLA,"Tesla, Inc.",403.89,USD,1.306812481187915,13105091,0.24228293625903782,1515569686095.473,USD,Consumer durables,Buy,413.399436310721,418.59966145655136,416.81992149839493,3.5482630431995834,0.7533614388704523
BRK.A,Berkshire Hathaway Inc.,740770.02,USD,-0.594468599033814,25,0.1398992725237829,1065945346182.706,USD,Finance,Buy,746132.3007562222,745759.7301014524,744959.3107071479,-0.03144116825437702,-1.5996012072124075
BRK.B,Berkshire Hathaway Inc. New,494.12,USD,-0.6194690265486693,519688,0.09041139211933007,1065677261610.4851,USD,Finance,Buy,497.23027949394856,496.89435833997794,496.33824166641676,-0.1576075974944378,-1.9953191320560122
WMT,Walmart Inc.,125.01,USD,0.5388451021392968,1854076,0.09980920803837741,996350546348.4897,USD,Retail trade,Strong buy,124.0088699276306,121.40540942045615,117.50917288435437,1.068409755151045,-1.7911854819703048
LLY,Eli Lilly and Company,1000.77,USD,-0.755660012495166,240419,0.08991888827746716,944083820803.8917,USD,Health technology,Strong buy,1022.8276334325391,1018.3037369547228,993.5849852771662,1.406438407522621,-5.2301136363636385
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",18.42,USD,0.10869565217393004,6105,0.03555676181279496,781923690121.0,USD,Finance,,18.499704713258055,18.50670315136087,18.513051786160965,0.2176278563656295,-0.10845986984815387
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",19.66,USD,-0.10162601626016045,9090,0.036430033095623024,781923690121.0,USD,Finance,,19.80274216546306,19.83889635338703,19.879199097966755,0,-0.30425963488843166
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",25.14,USD,0.039793076004781394,1501,0.012726799451586016,781923690121.0,USD,Finance,,25.18464608545323,25.212843571363127,25.246070721635846,0.11947431302270464,0.07961783439490276
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",19.442956,USD,0.06668039114770499,6069,0.038984939826755015,781923690121.0,USD,Finance,,19.501396613070938,19.53322386704439,19.569490010489435,0.22142268041237226,0.4803927648578675
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",24.87,USD,0.16109544905357512,2264,0.0201254283542751,781923690121.0,USD,Finance,,24.956917306776926,24.98105098625035,24.984995361701305,0.12077294685990796,-0.12048192771083367
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",20.2546,USD,0.22068283028203406,1795,0.025659389120704913,781923690121.0,USD,Finance,,20.344897884036065,20.385383835529975,20.436865516112263,0.36967294350842533,-0.07597434632461587
JPM,JP Morgan Chase & Co.,288.01,USD,-0.6588024282560792,1173982,0.11776093783921676,776772357863.3733,USD,Finance,Strong buy,300.97768274492984,304.32044395890415,304.7485131168922,0.8791593695271422,-8.484001143910264
TCTZF,Tencent Holding Ltd.,71.06,USD,5.079482439926066,4430,0.7534013605442177,641218167949.2532,USD,Technology services,Strong buy,70.72770117590245,72.61093325421122,73.95056958907962,8.139202210872963,0.2680965147453051
XOM,Exxon Mobil Corporation,149.68,USD,-0.5051847912789091,3031876,0.1471385206357937,623681196527.982,USD,Energy minerals,Buy,145.25676755787106,139.9357073887172,133.69263749327772,-1.5360326283590302,2.087027690628838
V,Visa Inc.,312.89,USD,-0.9747760863373234,706400,0.1015451698977624,596371270370.27,USD,Finance,Strong buy,321.5660689571977,325.83459540390936,330.1432986723908,-0.18184138327059057,-5.693531858460422
JNJ,Johnson & Johnson,242.6,USD,0.00412218145842405,812318,0.10523572740495651,584641470568.894,USD,Health technology,Buy,236.5417182994687,229.2309346434961,219.1729871756787,0.7182297504878107,1.5232674924673528
ASMLF,ASML Holding N.V.,1374.1,USD,2.945032551937005,26,0.008956869229709246,524885305600.1579,USD,Electronic technology,Strong buy,1362.870862149766,1314.8080029503426,1234.49773492275,6.502042303190943,0.32724453095680484
MA,Mastercard Incorporated,512.77,USD,-0.9561152746658512,247201,0.0692241352779751,457294564439.3937,USD,Finance,Strong buy,527.3283543327118,534.7082109220617,542.055969642977,-0.6779398376818332,-7.286600249516348
MU,"Micron Technology, Inc.",406.2099,USD,4.33830781876092,9290386,0.31064651795638154,457193019600.038,USD,Electronic technology,Strong buy,388.54098400668863,364.7034769840121,326.8808514902096,11.608391031981544,7.472887701242187
COST,Costco Wholesale Corporation,1005.275,USD,-0.002486819854767459,167148,0.07975860743574799,446210821030.7527,USD,Retail trade,Strong buy,986.4454221280287,971.3200868696646,959.2352601227171,0.5647089423086524,1.733036482315438
ORCL,Oracle Corporation,148.695,USD,-1.8903404592240756,5726778,0.23717549390739753,427362963944.9778,USD,Technology services,Strong buy,158.5751057311452,170.04128564854764,183.97053518820812,-1.3304578633045758,6.400715563506257
NFLX,"Netflix, Inc.",96.785,USD,-1.561228641171681,6532139,0.09408695718430897,408641958487.2297,USD,Technology services,Strong buy,91.34520261898554,92.34131397581893,95.66714699241341,-0.9365404298874167,19.458158479387805
ABBV,AbbVie Inc.,228.44,USD,0.43526049681249024,738211,0.11900177024988791,403920508447.37134,USD,Health technology,Strong buy,227.46600722776603,226.34163189663894,224.077470076352,-0.6653041701091451,4.429714285714285
CVX,Chevron Corporation,187.525,USD,-1.0108741554054013,1769789,0.15639913817158815,374184670343.9904,USD,Energy minerals,Buy,181.3209881045271,175.75857801268648,169.88993217204523,-1.8168014869499194,4.007210205213529
PLTR,Palantir Technologies Inc.,151.6778,USD,-3.037908329604306,10425286,0.19434427698407164,362764091978.755,USD,Technology services,Buy,150.1275906649757,154.4721211782332,157.68863064177867,-2.5770441261481194,12.079952708194767
PG,Procter & Gamble Company (The),154.7,USD,-0.3350083752093868,985732,0.11077787548710284,359522916132.6381,USD,Consumer non-durables,Buy,155.86810358356504,154.24740474802115,153.3220343722729,1.0120796604635864,-2.2371081900910137
HD,"Home Depot, Inc. (The)",354.33,USD,0.21778481728701826,322280,0.0828718889516688,352739578362.1551,USD,Retail trade,Strong buy,369.78784573941505,370.937651981662,372.22266477089323,-0.357142857142868,-7.082918130801907
RHHVF,Roche Holding Ltd,438.0195,USD,0.006735313591630982,37574,0.6672929827147427,350461425244.298,USD,Health technology,Buy,449.27608296633105,438.45073506919226,420.245911931351,3.3064858490566023,-2.057264880819291
IDCBF,Industrial and Commercial Bank of China Ltd.,0.8099,USD,-0.012345679012358026,1600,0.10147777002600368,347568295402.8267,USD,Finance,Strong buy,0.8160145139877536,0.8097906023248216,0.7996855890118397,4.066816575650492,-3.5833333333333353
BAC,Bank of America Corporation,48.065,USD,0.3444676409185786,4818328,0.10735886857676406,344947237513.99005,USD,Finance,Strong buy,51.071988968427696,51.81424252709147,51.883825060819746,0.26074259491030455,-13.474347434743475
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",19.755,USD,0.07801576526373197,8774,0.24337136184223299,343763084925.0,USD,Finance,,19.849673646756337,19.848486690000094,19.84902842179033,0.12671059300556806,0.4321301474326248
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",24.93,USD,0.04012841091491978,4078,0.11092463489801081,343763084925.0,USD,Finance,,24.98055224157073,24.95574590200722,24.91590029095849,0.04012841091491978,0.2412545235223109
BAC/PO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",18.09,USD,-0.16556291390729103,6039,0.09911715322536965,343763084925.0,USD,Finance,,18.200449447665154,18.20272314873036,18.208680545842533,0.7238307349665869,-0.49504950495049427
BML/PG,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",19.46,USD,-0.3073770491803213,745,0.1549146409931172,343763084925.0,USD,Finance,,19.53364355399576,19.541685334330126,19.665526375340097,-0.051361068310210645,-0.6636038795303676
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,19.58,USD,-0.20387359836902497,421,0.020650110608074635,343763084925.0,USD,Finance,,19.705495557287996,19.72750736266605,19.836612201485305,0.6683804627249306,0.7720020586721491
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,19.975,USD,0.07515030060120524,1972,0.1526268536577815,343763084925.0,USD,Finance,,20.06810977523562,20.08635989178663,20.24013529607542,-0.025025025025020048,1.7057026476578454
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",22.365,USD,0.11190689346463106,4426,0.07468277537796976,343763084925.0,USD,Finance,,22.589147613380067,22.57862360433182,22.55686261521381,0.5620503597122303,-0.8643617021276608
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,1227.5,USD,0.028521370655576663,297,0.02295740898198964,343763084925.0,USD,Finance,,1242.4529938818123,1246.1367679085106,1247.293667942535,-0.03990260507007461,-1.8808501794521293
BAC/PB,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",25.18,USD,0.0794912559618425,2021,0.039326870312785804,343763084925.0,USD,Finance,,25.19629489469241,25.206536392884754,25.20624079267022,0.27877339705296805,0.5992808629644369
BAC/PQ,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",17.535,USD,-0.028506271379697867,6157,0.08139152137502363,343763084925.0,USD,Finance,,17.64985067462523,17.66441619629587,17.678440605204877,0.3146453089244835,-0.25597269624572333
BACRP,Bank of America Corp.,301.99,USD,32.45175438596492,3,0.33707865168539325,343763084925.0,USD,Finance,,239.4897973969287,233.31014736396187,228.7569789073268,47.240370550950765,31.300000000000004
BML/PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,19.44,USD,0,308,0.021067175562076348,343763084925.0,USD,Finance,,19.43985560356867,19.439004174024344,19.546700074975238,-0.10277492291880562,-0.7656967840734996
BAC/PN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",20.91,USD,-0.14326647564470454,4054,0.05629210799642308,343763084925.0,USD,Finance,,21.145046094515074,21.12332473097225,21.081869518345226,0.38406144983198204,-0.9474182851729005
