Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Performance % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next FY,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,218.36,USD,-2.3740331738722107,105556611,0.7212929855085398,5262475956919.614,USD,Electronic technology,Strong buy,217.58414058308742,214.1234744750785,209.40626699603567,-3.38908061233519,-1.7149030022055067,15.026206969210106,225.3139999999998,220.51299999999998,212.16979999999978,197.27565000000007,27.603468763431348,9.255033,125.14871211043119
AAPL,Apple Inc.,326.57,USD,3.5612354918500726,69945809,1.5645035064783022,4766021205198.313,USD,Electronic technology,Buy,317.0431007832961,312.5794849649609,305.0359852084402,0.5232862375719484,6.11535337124289,19.950046831095847,321.26200000000034,315.27549999999997,317.21639999999996,284.6496999999998,37.43652058280696,8.832768,32.60922440789274
GOOG,Alphabet Inc.,330.39,USD,0.6120957427370701,16397537,1.001651415404016,4055978631314.998,USD,Technology services,Strong buy,340.73391056166525,343.3064254860499,342.04153213684185,-1.8186680930730155,-6.669491525423733,4.030353600554178,333.708,338.4620000000001,345.6271999999998,335.41490000000005,16.598091965456437,20.575928,112.01789423230548
MSFT,Microsoft Corporation,492.44,USD,0.1606834129970549,16020623,0.7574756809998298,3656635536382.198,USD,Technology services,Strong buy,477.5050627450852,461.1801938562496,447.9999723112895,-1.837898178048883,-2.357583328376259,1.6629334104070124,497.57199999999983,494.4964999999999,451.4418000000002,431.1400000000005,27.441015524869883,19.72382,31.54908515130189
AMZN,"Amazon.com, Inc.",251.89,USD,-0.20206022187005518,25450616,0.7647639462666259,2716964681895.932,USD,Retail trade,Strong buy,257.39750299337425,255.35858830501903,251.55030266294372,-1.682279469164716,-9.616419677778179,8.883029307512745,255.734,259.37799999999976,254.95120000000014,239.61725,20.260444315750526,12.78255,89.7295812477109
AVGO,Broadcom Inc.,360.83,USD,-0.9742576431198231,23962231,0.8275331715366517,1716677642594.3281,USD,Electronic technology,Strong buy,374.54824037066925,378.6642221895155,378.42363374605884,2.584295218058786,-15.312037928039995,2.2833250655516992,361.76500000000004,370.28524999999973,383.23229999999944,370.0937000000001,46.05301783002131,11.629024,100.17117163149555
META,"Meta Platforms, Inc.",644.38,USD,-1.4242224907831018,21503820,1.1440990869183938,1641562008738.1643,USD,Technology services,Strong buy,602.8541002042749,601.4319705340998,605.3106089245804,6.59895118198812,7.7558528428093645,-2.768116488739677,627.8,583.8140000000004,600.1998000000003,622.9620000000003,24.272535850563326,31.383999,-3.857269092594742
TSLA,"Tesla, Inc.",363.56,USD,-1.1554878877681412,29611150,0.6778790776302639,1435897518622.8792,USD,Consumer durables,Buy,355.77555142318266,361.50816302071684,370.2851040686457,-0.6177901700289735,9.242788461538458,-20.585408475316733,365.9949999999995,353.85574999999983,355.69530000000026,399.05369999999994,337.7868623989594,1.705422,-37.67083622886263
MU,"Micron Technology, Inc.",977.41,USD,-4.899928972435468,26114213,1.0068011612609113,1103880098013.9233,USD,Electronic technology,Strong buy,953.1890594300138,921.4283235686992,851.9060755451751,2.1423122341704026,12.11401697637073,231.18509106310884,996.0379999999999,961.5352500000002,929.7502999999998,618.2277750000002,22.127315658526534,73.3679,697.287150515315
LLY,Eli Lilly and Company,1123.0,USD,-0.10763113653143419,1995808,0.816936142357695,1057143936778.2246,USD,Health technology,Strong buy,1164.266014896045,1153.8446449143291,1126.9521904676058,-4.017094017094017,-8.747409905334585,4.329245633593451,1136.0159999999994,1187.7894999999996,1186.1754000000003,1064.5694499999995,38.159508785521815,36.396548,95.1428306190653
