Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Performance % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next FY,EPS Growth YoY TTM
SPY,SPDR S&P 500 ETF TRUST,757.83,USD,-0.5994228751311564,42704435,1.128152278611782,0,USD,Miscellaneous,,761.3229504744379,755.0611171926039,743.973769013688,-1.3113686677952776,-2.156146308083603,10.517565734785842,765.9099999999995,767.5584999999994,758.2457999999989,713.7076500000002,,,
QQQ,"Invesco QQQ Trust, Series 1",708.69,USD,-1.0637852326506527,31286537,1.034518966972605,0,USD,Miscellaneous,,712.7822494612655,708.4508789596111,697.2972959146197,-0.3038615741717617,-2.018554106928052,14.293778021481812,715.998,716.5275000000003,710.6121999999996,659.5148500000001,,,
