Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
PLTR,Palantir Technologies Inc.,155.68,USD,1.9048242455979554,33606483,0.7766134720659434,372336083875.74,USD,Technology services,Strong buy,151.23566681349962,154.5555569282815,157.44587909583183,2.1187274516234953,20.78048023585088,246.01769911504425,0.279089
ABBV,AbbVie Inc.,206.23,USD,-1.0127675914370806,6990260,1.1500778305554475,364649475181.9714,USD,Health technology,Strong buy,221.2328204364106,222.39588856446602,221.73100585453489,-6.7212447419602945,-11.358019384926182,87.33378504277123,3.014921
IDCBF,Industrial and Commercial Bank of China Ltd.,0.81,USD,0.012347203358451663,46957,2.297005777123374,350245759686.53424,USD,Finance,Strong buy,0.8160367362099759,0.8098048880391073,0.7996946799209307,4.079665917121755,-3.5714285714285614,5.774853848073863,0.0385992
BAC,Bank of America Corporation,47.01,USD,0.3843689942344645,38504196,0.8619632111076065,337375840071.7143,USD,Finance,Strong buy,49.93685561741907,50.96322828852739,51.329593030497286,-0.2334465195246168,-11.368778280542989,12.297269017474102,0.996228
PG,Procter & Gamble Company (The),144.84,USD,-1.2746234067207447,10298076,1.2413729406250449,336608281488.4867,USD,Consumer non-durables,Buy,152.71741389832837,152.4075714166712,152.21622959462826,-4.622678783089694,-9.446702094404493,21.46159317211949,1.568007
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,19.42,USD,-0.10288065843621179,56045,1.8982732809017686,336084037238.0,USD,Finance,,19.612669384063505,19.66276141289743,19.78468877820978,0.05151983513653562,-2.656641604010013,5.080046039552161,0.996228
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",19.43,USD,-0.20544427324087905,33257,0.7361782570968143,336084037238.0,USD,Finance,,19.700239996859867,19.74890695877559,19.784075424768066,-0.8167432363450747,-2.9470529470529465,5.082661923197656,0.996228
BAC/PB,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",24.96,USD,0.20072260136491654,120420,1.5431794211987897,336084037238.0,USD,Finance,,25.09884664648916,25.13948017349306,25.16236766275805,-0.19992003198720792,-0.7949125596184391,6.5292455791566395,0.996228
BAC/PN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",20.6,USD,-0.33865505563618903,86187,0.6955248090448003,336084037238.0,USD,Finance,,20.987628443882095,21.02284976940479,21.020707826594833,-0.866217516843117,-4.230590423059042,5.388720309720624,0.996228
BML/PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,19.59,USD,0.1021972406744996,19378,1.014124899911556,336084037238.0,USD,Finance,,20.034438643529537,20.178672848186245,20.36768343506098,-0.3053435114503752,-6.043165467625906,5.124516061525584,0.996228
BAC/PP,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",16.93,USD,0.11827321111767931,47430,0.8976698058928625,336084037238.0,USD,Finance,,17.137373108683214,17.165323665124987,17.18295090926243,-0.8201523140011749,-2.2517321016166316,4.428691011823794,0.996228
BAC/PO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",17.82,USD,0.056148231330721866,62344,0.9408767672377364,336084037238.0,USD,Finance,,18.060596483986476,18.108864739728062,18.146899669774204,-0.5025125628140695,-2.622950819672133,4.661504656272889,0.996228
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,19.3716,USD,-0.8618219037870949,17011,1.0024869171656217,336084037238.0,USD,Finance,,19.855428590615357,19.943230927653843,20.133491591473522,-1.4669379450661206,-4.384995064165848,5.067385162707963,0.996228
BML/PG,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",19.03,USD,-0.782064650677782,5113,0.7865427806663999,336084037238.0,USD,Finance,,19.373327702490528,19.43430171514011,19.58461075444141,-0.833767587285045,-3.105906313645618,4.978026577377839,0.996228
BML/PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,19.04,USD,-0.31413612565446214,11379,0.8545358966656653,336084037238.0,USD,Finance,,19.31641361759045,19.357501536918825,19.48409924171303,-1.0909090909090953,-3.1043256997455444,4.980642461023334,0.996228
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,1204.9,USD,-0.19383055564758608,11982,0.786442368909863,336084037238.0,USD,Finance,,1231.4288717846193,1238.3478418807642,1242.15870639404,-0.7781940956066882,-4.218701558860699,315.1878204457466,0.996228
BAC/PQ,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",17.18,USD,-0.11627906976743939,115707,0.8355333658764844,336084037238.0,USD,Finance,,17.4875381790295,17.554193474376053,17.605441872500304,-0.5211349160393738,-3.2657657657657757,4.4940881029611806,0.996228
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",21.89,USD,-0.27334851936218096,75154,1.1578167342216388,336084037238.0,USD,Finance,,22.365509872135114,22.431881456774214,22.46359411300429,-0.9502262443438951,-4.45220427760803,5.726169299989537,0.996228
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",24.75,USD,0.0808734330772324,59064,1.310512232246269,336084037238.0,USD,Finance,,24.899935694061185,24.90553730376129,24.88676885954904,-0.2016129032258093,-1.1186576108669641,6.474312022601235,0.996228
