Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
SPY,SPDR S&P 500 ETF TRUST,670.74,USD,1.2758761267722667,14793075,0.1724585596528114,0,USD,Miscellaneous,,677.1589915005936,678.5448697993473,675.2123348729876,0.35309255214099966,-1.606301984773144,,
QQQ,"Invesco QQQ Trust, Series 1",601.97,USD,1.3895438927440544,10151149,0.14465770409701856,0,USD,Miscellaneous,,604.7976859397012,606.8086150420654,604.5270482536527,0.3216452236517672,0.25648285395467874,,
