Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
NVDA,NVIDIA Corporation,183.015,USD,-1.620706337687478,59633397,0.3296559760158531,4447264470817.75,USD,Electronic technology,Strong buy,183.02401228911853,183.42038531077452,181.9839937590283,3.4977096646496486,-4.370885149963429
AAPL,Apple Inc.,254.6,USD,-2.3810436716383605,11654426,0.3013777058123854,3737818119502.6406,USD,Electronic technology,Strong buy,260.5334984723158,261.33131972123186,259.4010702495841,-0.4262974695920855,-7.37944958800953
GOOG,Alphabet Inc.,302.045,USD,-2.0669865767459954,4787250,0.2567677992728396,3655664496739.3745,USD,Technology services,Strong buy,310.1546517947316,308.72923417160615,298.8284128868455,2.689241334761258,-5.87859524477268
GOOGL,Alphabet Inc.,302.24,USD,-2.0926465824424945,9544674,0.3301255665188847,3654706654551.8228,USD,Technology services,Strong buy,310.1165004247174,308.5342195236595,298.4725135637723,2.676994156814783,-5.835436333613739
MSFT,Microsoft Corporation,403.7499,USD,-0.2791197391819725,8274632,0.25535769359240695,2998096964491.8457,USD,Technology services,Strong buy,415.92042295874404,430.4701889727623,445.97888023922894,-0.2877394020967352,-3.782017063057047
AMZN,"Amazon.com, Inc.",208.59,USD,-1.9092405360921711,14398376,0.32155147002701584,2239197085935.2925,USD,Retail trade,Strong buy,215.17811155198098,218.90914673055642,221.37924206550244,-0.8695652173912969,-0.09818242774012026
META,"Meta Platforms, Inc.",640.6899,USD,-2.1638365452157786,2742269,0.25102395966244784,1620660592293.42,USD,Technology services,Strong buy,650.5768264181196,654.4763366251166,660.3310676736176,0.9310154699265877,-5.447181227863054
AVGO,Broadcom Inc.,335.3999,USD,-1.806394004157271,6305353,0.21345311866119082,1590222834678.251,USD,Electronic technology,Strong buy,332.62958323904485,335.23191098174243,333.9557309549399,2.4904201680672275,-3.4737099605721427
TSLA,"Tesla, Inc.",397.05,USD,-2.640870972487858,26628975,0.4708016969774798,1489903106604.2603,USD,Consumer durables,Buy,411.879436310721,417.6225185994085,416.19810331657675,1.7946417126009486,-5.030137772675079
BRK.A,Berkshire Hathaway Inc.,735000.0,USD,-0.6756756756756757,66,0.3620405924300603,1057420874889.0406,USD,Finance,Buy,744850.0740895555,744935.4415300238,744434.7634344206,-0.8101181776591998,-1.7248295226634576
BRK.B,Berkshire Hathaway Inc. New,490.065,USD,-0.7101323013959511,1177673,0.20481807079076217,1057054044753.8977,USD,Finance,Buy,496.32916838283745,496.3150726256922,495.9696053027804,-0.9769650434431157,-1.5736091584655514
WMT,Walmart Inc.,124.23,USD,0.5992388047615266,4765024,0.25200151659196096,990133828311.191,USD,Retail trade,Strong buy,123.83553659429727,121.29398084902759,117.43826379344529,0.43779332759310624,-3.652861796184267
LLY,Eli Lilly and Company,980.91,USD,-1.8933029284685612,703232,0.280725745223678,925348753546.2473,USD,Health technology,Strong buy,1018.4143000992058,1015.46659409758,991.7795307317117,-0.6059439248548489,-6.638684255610769
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",19.155,USD,-0.44178794178792774,55786,0.3543757007505376,775450746346.0,USD,Finance,,19.437406390848718,19.49208729561582,19.543312192307617,-1.2628865979381312,-1.1099638616417131
